Entity,Code,Year,Deaths_Cause_By_Air_Pollution,Continent,population
Afghanistan,AFG,2019,28168,,38972230
Albania,ALB,2019,724,,2866849
Algeria,DZA,2019,66,,43451666
American Samoa,ASM,2019,6,,46189
Andorra,AND,2019,0,,77700
Angola,AGO,2019,8726,,33428485
Antigua and Barbuda,ATG,2019,0,,92664
Argentina,ARG,2019,708,,45036032
Armenia,ARM,2019,78,,2805608
Australia,AUS,2019,13,,25670051
Austria,AUT,2019,9,,8907777
Azerbaijan,AZE,2019,666,,10284951
Bahamas,BHS,2019,2,,406471
Bahrain,BHR,2019,2,,1477469
Bangladesh,BGD,2019,94789,,167420951
Barbados,BRB,2019,0,,280693
Belarus,BLR,2019,96,,9633740
Belgium,BEL,2019,6,,11561717
Belize,BLZ,2019,30,,394921
Benin,BEN,2019,9891,,12643123
Bermuda,BMU,2019,1,,64031
Bhutan,BTN,2019,352,,772506
Bolivia,BOL,2019,2276,,11936162
Bosnia and Herzegovina,BIH,2019,1148,,3318407
Botswana,BWA,2019,636,,2546402
Brazil,BRA,2019,14016,,213196304
Brunei,BRN,2019,1,,441725
Bulgaria,BGR,2019,1812,,6979175
Burkina Faso,BFA,2019,24303,,21522626
Burundi,BDI,2019,10004,,12220227
Cambodia,KHM,2019,14034,,16396860
Cameroon,CMR,2019,12068,,26491087
Canada,CAN,2019,8,,37888705
Cape Verde,CPV,2019,99,,582640
Central African Rep.,CAF,2019,6961,,5343020
Chad,TCD,2019,19066,,16644701
Chile,CHL,2019,330,,19300315
China,CHN,2019,363029,,1424929781
Colombia,COL,2019,2454,,50930662
Comoros,COM,2019,552,,806166
Congo,COG,2019,1638,,92853164
Cook Islands,COK,2019,1,,17029
Costa Rica,CRI,2019,104,,5123105
Cote d'Ivoire,CIV,2019,16262,,26000
Croatia,HRV,2019,169,,4096868
Cuba,CUB,2019,200,,11300698
Cyprus,CYP,2019,1,,1237537
Czechia,CZE,2019,80,,10530953
Dem. Rep. Congo,COD,2019,58038,,92853164
Denmark,DNK,2019,2,,5825641
Djibouti,DJI,2019,201,,1090156
Dominica,DMA,2019,4,,71995
Dominican Republic,DOM,2019,939,,10999664
Ecuador,ECU,2019,476,,17588595
Egypt,EGY,2019,73,,107465134
El Salvador,SLV,2019,618,,6292731
England,,2019,9,,
Equatorial Guinea,GNQ,2019,84,,1596049
Eritrea,ERI,2019,3936,,3555868
Estonia,EST,2019,40,,1329444
Eswatini,SWZ,2019,482,,1180655
Ethiopia,ETH,2019,67827,,117190911
Fiji,FJI,2019,302,,920422
Finland,FIN,2019,2,,5529468
France,FRA,2019,37,,64480053
Gabon,GAB,2019,69,,2292573
Gambia,GMB,2019,1493,,2573995
Georgia,GEO,2019,1594,,3765912
Germany,DEU,2019,30,,83328988
Ghana,GHA,2019,11065,,32180401
Greece,GRC,2019,41,,10512232
Greenland,GRL,2019,0,,56026
Grenada,GRD,2019,2,,123663
Guam,GUM,2019,5,,169231
Guatemala,GTM,2019,5296,,17362718
Guinea,GIN,2019,13752,,13205153
Guinea-Bissau,GNB,2019,1639,,2015828
Guyana,GUY,2019,55,,797202
Haiti,HTI,2019,12151,,11306801
Honduras,HND,2019,3875,,10121763
Hungary,HUN,2019,1347,,9750573
Iceland,ISL,2019,0,,366669
India,IND,2019,606890,,1396387127
Indonesia,IDN,2019,76867,,271857970
Iran,IRN,2019,97,,87290193
Iraq,IRQ,2019,64,,42556984
Ireland,IRL,2019,2,,4946119
Israel,ISR,2019,4,,8757489
Italy,ITA,2019,121,,59500579
Jamaica,JAM,2019,199,,2820436
Japan,JPN,2019,95,,125244761
Jordan,JOR,2019,2,,10928721
Kazakhstan,KAZ,2019,1424,,18979243
Kenya,KEN,2019,22109,,51985780
Kiribati,KIR,2019,133,,126463
Kuwait,KWT,2019,1,,4360444
Kyrgyzstan,KGZ,2019,1432,,6424874
Laos,LAO,2019,6332,,7319399
Latvia,LVA,2019,104,,1897052
Lebanon,LBN,2019,10,,5662923
Lesotho,LSO,2019,1633,,2254100
Liberia,LBR,2019,2714,,5087584
Libya,LBY,2019,8,,6653942
Lithuania,LTU,2019,61,,2820267
Luxembourg,LUX,2019,0,,630399
Madagascar,MDG,2019,21459,,28225177
Malawi,MWI,2019,12379,,19377061
Malaysia,MYS,2019,111,,33199993
Maldives,MDV,2019,23,,514438
Mali,MLI,2019,22580,,21224040
Malta,MLT,2019,0,,515357
Marshall Islands,MHL,2019,24,,43413
Mauritania,MRT,2019,1208,,4498604
Mauritius,MUS,2019,14,,1297828
Mexico,MEX,2019,9854,,125998302
Micronesia,FSM,2019,48,,112106
Moldova,MDA,2019,282,,3084847
Monaco,MCO,2019,0,,36922
Mongolia,MNG,2019,1009,,3294335
Montenegro,MNE,2019,168,,629048
Morocco,MAR,2019,1679,,36688772
Mozambique,MOZ,2019,25017,,31178239
Myanmar,MMR,2019,49223,,53423198
Namibia,NAM,2019,775,,2489098
Nauru,NRU,2019,0,,12315
Nepal,NPL,2019,21603,,29348627
Netherlands,NLD,2019,6,,17434557
New Zealand,NZL,2019,3,,5061133
Nicaragua,NIC,2019,1735,,6755895
Niger,NER,2019,26507,,24333639
Nigeria,NGA,2019,128259,,208327405
Niue,NIU,2019,0,,1942
North Korea,PRK,2019,31515,,25867467
North Macedonia,MKD,2019,535,,2111072
Northern Ireland,,2019,0,,
Northern Mariana Islands,MNP,2019,5,,49587
Norway,NOR,2019,1,,5379839
Oman,OMN,2019,6,,4543399
Pakistan,PAK,2019,116090,,227196741
Palau,PLW,2019,0,,17972
Palestine,PSE,2019,28,,5019401
Panama,PAN,2019,154,,4294396
Papua New Guinea,PNG,2019,11169,,9749640
Paraguay,PRY,2019,1193,,6618695
Peru,PER,2019,2439,,33304756
Philippines,PHL,2019,42675,,112190977
Poland,POL,2019,2808,,38428366
Portugal,PRT,2019,34,,10298192
Puerto Rico,PRI,2019,1,,3271564
Qatar,QAT,2019,0,,2760385
Romania,ROU,2019,2434,,19442038
Russia,RUS,2019,2448,,145617329
Rwanda,RWA,2019,7468,,13146362
Saint Kitts and Nevis,KNA,2019,1,,47642
Saint Lucia,LCA,2019,5,,179237
Saint Vincent and the Grenadines,VCT,2019,4,,104632
Samoa,WSM,2019,139,,214929
San Marino,SMR,2019,0,,34007
Sao Tome and Principe,STP,2019,87,,218641
Saudi Arabia,SAU,2019,37,,35997107
Scotland,,2019,1,,65461
Senegal,SEN,2019,9075,,16436119
Serbia,SRB,2019,1969,,7358005
Seychelles,SYC,2019,0,,105530
Sierra Leone,SLE,2019,7813,,8233969
Singapore,SGP,2019,2,,5909869
Slovakia,SVK,2019,34,,5456681
Slovenia,SVN,2019,62,,2117641
Solomon Islands,SLB,2019,1211,,691191
Somalia,SOM,2019,27553,,16537016
South Africa,ZAF,2019,4590,,58801927
South Korea,KOR,2019,15,,51844690
S. Sudan,SSD,2019,7678,,10606227
Spain,ESP,2019,178,,47363807
Sri Lanka,LKA,2019,6643,,21715079
Sudan,SDN,2019,11310,,44440486
Suriname,SUR,2019,47,,607065
Sweden,SWE,2019,3,,10368969
Switzerland,CHE,2019,1,,8638613
Syria,SYR,2019,18,,20772595
Taiwan,TWN,2019,492,,23821464
Tajikistan,TJK,2019,2607,,9543207
Tanzania,TZA,2019,39165,,61704518
Thailand,THA,2019,7449,,71475664
Timor,TLS,2019,1027,,1299995
Togo,TGO,2019,5060,,8442580
Tokelau,TKL,2019,0,,1827
Tonga,TON,2019,31,,105254
Trinidad and Tobago,TTO,2019,1,,1518147
Tunisia,TUN,2019,21,,12161723
Turkey,TUR,2019,236,,84135428
Turkmenistan,TKM,2019,5,,6250438
Tuvalu,TUV,2019,2,,11069
Uganda,UGA,2019,23001,,44404611
Ukraine,UKR,2019,2728,,43909666
United Arab Emirates,ARE,2019,0,,9287289
United Kingdom,GBR,2019,12,,67059474
United States of America,USA,2019,150,,335942003
United States Virgin Islands,VIR,2019,1,,100442
Uruguay,URY,2019,53,,3429086
Uzbekistan,UZB,2019,3164,,33526656
Vanuatu,VUT,2019,361,,311685
Venezuela,VEN,2019,88,,28490453
Vietnam,VNM,2019,33247,,96648685
Wales,,2019,1,,
Yemen,YEM,2019,9709,,32284046
Zambia,ZMB,2019,8822,,18927715
Zimbabwe,ZWE,2019,10019,,15669666

